Brand,Year,Kms_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_BHP,Selling_Price
Hyundai,2023,17895,Petrol,Manual,First,796,86.7,5.29
Honda,2018,71319,Diesel,Manual,Third,1496,143.3,4.67
Hyundai,2021,41265,Petrol,Manual,First,1197,53.0,1.89
Honda,2019,59902,Diesel,Manual,First,1798,196.8,9.83
Ford,2014,114439,Petrol,Manual,First,1493,79.7,1.68
Maruti,2013,129290,Petrol,Manual,First,1197,49.1,1.2
Toyota,2014,117793,Diesel,Manual,First,2755,121.8,4.64
Hyundai,2014,124362,CNG,Manual,First,796,99.9,1.67
Maruti,2019,52497,Petrol,Manual,First,1493,95.1,2.36
Toyota,2017,82846,Diesel,Automatic,First,1496,123.3,9.04
Hyundai,2020,52800,Petrol,Manual,First,1498,94.1,3.71
Toyota,2022,23881,Petrol,Automatic,First,2755,127.0,15.54
Maruti,2019,70534,Diesel,Manual,First,1498,96.9,2.45
Maruti,2019,56766,Diesel,Automatic,First,1197,77.1,2.6
Maruti,2016,93388,Diesel,Automatic,First,796,65.0,1.58
Honda,2021,39184,Petrol,Manual,First,1496,175.5,10.03
Maruti,2020,48354,Petrol,Automatic,First,796,63.8,2.27
Maruti,2019,52324,Petrol,Manual,First,1197,74.1,1.92
Maruti,2013,131734,Petrol,Manual,First,1498,91.4,1.2
Toyota,2023,18911,Petrol,Automatic,First,2393,125.5,17.95
Toyota,2023,22826,Petrol,Manual,First,2755,126.0,15.32
Ford,2020,51482,Petrol,Manual,First,1498,82.7,3.59
Honda,2019,64175,Diesel,Manual,First,2755,198.1,9.8
Honda,2023,13594,Diesel,Automatic,Second,1798,182.7,16.69
Honda,2023,19415,Petrol,Automatic,Third,1798,131.3,10.62
Hyundai,2018,71602,Petrol,Manual,First,1493,96.3,2.8
Honda,2019,56160,Petrol,Manual,First,1798,138.3,6.5
Ford,2015,105106,Diesel,Manual,First,1493,104.0,2.86
Maruti,2015,109919,Petrol,Automatic,First,1197,107.4,2.12
Hyundai,2021,37489,Diesel,Manual,Third,1493,66.4,2.28
Hyundai,2019,59555,Petrol,Manual,Second,1498,84.6,2.21
Maruti,2018,65777,Petrol,Manual,Second,796,93.4,1.85
Hyundai,2022,29060,Diesel,Automatic,First,796,88.4,5.92
Maruti,2020,52816,Diesel,Manual,First,1197,75.9,2.36
Honda,2015,113258,Petrol,Manual,First,2755,121.2,2.77
Hyundai,2023,16257,Diesel,Manual,First,1493,102.6,6.12
Maruti,2015,109453,CNG,Manual,First,796,73.3,1.2
Hyundai,2022,23912,Petrol,Manual,First,1197,53.2,2.7
Maruti,2017,83084,Diesel,Manual,Second,1498,63.4,1.3
Hyundai,2017,80642,Petrol,Manual,First,1197,93.4,2.32
Hyundai,2022,29796,Petrol,Manual,First,1197,87.6,4.35
Honda,2014,115007,Petrol,Manual,First,2755,171.3,4.27
Maruti,2023,18431,Diesel,Manual,Second,1498,109.1,5.0
Hyundai,2013,121420,Petrol,Manual,First,796,53.2,1.2
Honda,2013,121377,Diesel,Manual,First,2393,127.8,3.14
Honda,2023,17448,Diesel,Manual,First,1496,165.2,14.4
Honda,2015,96849,Diesel,Manual,Third,1496,137.8,3.02
Honda,2019,58368,Diesel,Manual,Second,1798,142.7,6.08
Maruti,2016,91915,CNG,Automatic,First,1498,52.5,1.2
Maruti,2021,32237,Diesel,Automatic,First,796,79.6,3.56
Maruti,2022,30900,Petrol,Manual,First,1197,102.2,3.88
Toyota,2018,71979,Petrol,Automatic,Second,1496,160.6,10.53
Maruti,2020,43207,Diesel,Automatic,Third,1493,70.1,1.98
Honda,2015,105243,Petrol,Automatic,First,2393,139.1,4.97
Hyundai,2022,30407,Diesel,Automatic,First,1493,110.5,7.62
Hyundai,2013,126229,Petrol,Automatic,Third,796,49.8,1.2
